derived_ethnicity,derived_race,derived_sex,action_taken,loan_amount,interest_rate,property_value,income,applicant_age
Not Hispanic or Latino,Asian,Female,1,265000,3.25,435000,62,65-74
Hispanic or Latino,Race Not Available,Male,1,265000,3.5,445000,63,35-44
Not Hispanic or Latino,Asian,Joint,1,465000,3.99,585000,120,55-64
Not Hispanic or Latino,White,Joint,1,485000,3.5,615000,155,35-44
Joint,Race Not Available,Joint,1,515000,3.75,535000,154,55-64
Not Hispanic or Latino,Joint,Joint,1,535000,3.75,715000,146,35-44
Not Hispanic or Latino,White,Female,1,125000,3.75,555000,202,55-64
Ethnicity Not Available,Race Not Available,Joint,1,485000,3.625,495000,161,45-54
Not Hispanic or Latino,Asian,Joint,1,615000,3.625,685000,151,35-44
Not Hispanic or Latino,Asian,Joint,1,615000,5.125,655000,224,35-44
Joint,White,Joint,1,445000,3.5,1005000,131,65-74
Ethnicity Not Available,Race Not Available,Male,1,375000,3.99,395000,105,25-34
Not Hispanic or Latino,Black or African American,Female,1,435000,3.875,465000,159,55-64
Not Hispanic or Latino,Asian,Joint,1,485000,3.625,675000,110,25-34
Not Hispanic or Latino,Asian,Joint,1,475000,3.625,535000,165,25-34
Not Hispanic or Latino,White,Joint,1,515000,4.125,645000,120,25-34
Not Hispanic or Latino,Asian,Male,1,885000,3.5,1185000,202,25-34
Not Hispanic or Latino,Asian,Joint,1,345000,3.25,345000,234,45-54
Not Hispanic or Latino,Asian,Joint,1,485000,3.625,665000,100,45-54
Hispanic or Latino,Joint,Joint,1,375000,3.5,395000,101,45-54
Not Hispanic or Latino,Asian,Joint,1,475000,3.875,505000,179,45-54
Ethnicity Not Available,Black or African American,Female,1,425000,3.875,435000,85,25-34
Not Hispanic or Latino,Asian,Joint,1,375000,3.75,445000,120,25-34
Not Hispanic or Latino,White,Joint,1,465000,3.5,665000,167,35-44
Not Hispanic or Latino,White,Joint,1,265000,3.375,605000,94,65-74
Not Hispanic or Latino,White,Joint,1,495000,3.625,515000,103,>74
Not Hispanic or Latino,Asian,Joint,1,525000,4.125,755000,182,55-64
Not Hispanic or Latino,White,Female,1,235000,4.25,245000,70,25-34
Not Hispanic or Latino,Asian,Male,1,415000,3.625,795000,149,>74
Hispanic or Latino,Race Not Available,Male,3,435000,4.458762699,415000,87,<25
Not Hispanic or Latino,Joint,Joint,1,415000,3.625,525000,130,45-54
Joint,Asian,Female,1,335000,4.25,375000,70,25-34
Joint,Race Not Available,Joint,1,345000,3.75,665000,92,65-74
Not Hispanic or Latino,White,Joint,1,335000,3.5,375000,81,25-34
Hispanic or Latino,White,Joint,1,265000,4,325000,90,25-34
Hispanic or Latino,Race Not Available,Joint,1,395000,3.75,495000,78,>74
Not Hispanic or Latino,Asian,Joint,1,545000,4,545000,178,45-54
Ethnicity Not Available,Native Hawaiian or Other Pacific Islander,Male,1,295000,3.99,375000,61,25-34
Not Hispanic or Latino,Asian,Joint,1,215000,3.875,335000,48,45-54
Not Hispanic or Latino,White,Female,1,385000,3.875,475000,83,55-64
Not Hispanic or Latino,White,Female,1,295000,3.99,305000,61,25-34
Not Hispanic or Latino,Joint,Joint,1,545000,3.875,555000,136,35-44
Hispanic or Latino,White,Male,1,275000,4.75,305000,167,<25
Hispanic or Latino,White,Joint,1,415000,3.99,425000,133,25-34
Not Hispanic or Latino,White,Joint,1,335000,3.99,415000,99,25-34
Not Hispanic or Latino,White,Joint,1,335000,3.875,425000,103,25-34
Ethnicity Not Available,White,Joint,1,245000,3.875,735000,132,55-64
Not Hispanic or Latino,Asian,Joint,1,265000,3.125,295000,88,25-34
Not Hispanic or Latino,Black or African American,Female,3,565000,4.458762699,555000,127,35-44
Not Hispanic or Latino,White,Male,1,305000,3.625,315000,146,45-54
Joint,White,Joint,1,285000,3.625,285000,88,25-34
Not Hispanic or Latino,White,Joint,1,395000,3.875,415000,220,25-34
Hispanic or Latino,White,Joint,1,335000,3.99,355000,101,35-44
Joint,Asian,Joint,1,275000,2.875,425000,189,45-54
Joint,White,Joint,1,295000,3.99,305000,78,25-34
Not Hispanic or Latino,Asian,Female,1,325000,4.625,405000,153,45-54
Not Hispanic or Latino,White,Joint,1,245000,3.75,845000,148,65-74
Joint,Asian,Joint,1,435000,3.625,545000,177,45-54
Not Hispanic or Latino,White,Female,1,355000,2.99,645000,124,45-54
Not Hispanic or Latino,Joint,Joint,1,475000,3.375,465000,87,35-44
Not Hispanic or Latino,White,Joint,1,395000,3.625,395000,85,25-34
Joint,Joint,Joint,1,395000,4.25,405000,130,35-44
Not Hispanic or Latino,Joint,Joint,1,255000,3.5,255000,73,35-44
Hispanic or Latino,White,Joint,1,635000,3.875,705000,117,45-54
Not Hispanic or Latino,Black or African American,Female,1,315000,3.625,415000,76,55-64
Joint,Race Not Available,Joint,1,315000,3.375,415000,169,55-64
Hispanic or Latino,Race Not Available,Joint,1,435000,3.5,445000,100,25-34
Not Hispanic or Latino,Asian,Female,1,235000,4.375,335000,73,55-64
Ethnicity Not Available,Asian,Joint,1,385000,3.75,385000,197,45-54
Not Hispanic or Latino,Asian,Male,1,435000,3.375,465000,80,65-74
Hispanic or Latino,Race Not Available,Female,1,305000,3.375,305000,105,25-34
Not Hispanic or Latino,Black or African American,Female,1,395000,3.75,415000,95,35-44
Not Hispanic or Latino,Asian,Male,1,555000,3.375,795000,153,<25
Not Hispanic or Latino,Race Not Available,Female,1,265000,3.875,335000,65,35-44
Not Hispanic or Latino,White,Male,1,685000,3.375,855000,163,35-44
Not Hispanic or Latino,Asian,Male,1,385000,3.875,515000,71,35-44
Not Hispanic or Latino,White,Male,1,325000,3.375,435000,61,65-74
Hispanic or Latino,White,Joint,1,595000,3.99,675000,126,55-64
Not Hispanic or Latino,White,Joint,1,515000,3.99,645000,100,>74
Not Hispanic or Latino,White,Female,1,195000,3.875,425000,66,55-64
Joint,White,Joint,1,385000,3.99,405000,144,25-34
Not Hispanic or Latino,White,Male,1,205000,4.5,345000,87,45-54
Joint,White,Joint,1,415000,3.75,535000,112,25-34
Not Hispanic or Latino,White,Female,1,415000,3.125,435000,156,55-64
Not Hispanic or Latino,Asian,Joint,1,505000,3.5,515000,124,25-34
Not Hispanic or Latino,White,Male,1,515000,3.875,545000,110,25-34
Joint,White,Joint,1,405000,4,405000,89,35-44
Not Hispanic or Latino,Joint,Joint,1,205000,3.75,585000,134,55-64
Not Hispanic or Latino,Black or African American,Female,1,485000,3.99,515000,102,35-44
Hispanic or Latino,White,Male,1,295000,4,305000,67,35-44
Joint,Race Not Available,Joint,1,425000,3.99,475000,127,35-44
Not Hispanic or Latino,White,Female,3,555000,4.458762699,585000,145,45-54
Hispanic or Latino,White,Female,1,295000,3.75,295000,87,25-34
Not Hispanic or Latino,White,Joint,1,465000,4.5,465000,117.8525735,35-44
Hispanic or Latino,Race Not Available,Male,1,485000,3.875,605000,258,25-34
Ethnicity Not Available,Race Not Available,Sex Not Available,3,405000,4.458762699,435000,118,35-44
Ethnicity Not Available,Race Not Available,Joint,1,615000,3.5,655000,159,65-74
Joint,White,Joint,1,435000,3,455000,111,25-34
Hispanic or Latino,White,Male,3,315000,4.458762699,325000,65,45-54
Joint,Asian,Joint,1,455000,4.25,565000,134,35-44
Ethnicity Not Available,Race Not Available,Sex Not Available,1,485000,3.5,475000,113,>74
Not Hispanic or Latino,Asian,Male,3,395000,4.458762699,745000,82,55-64
Joint,Asian,Joint,1,475000,3.5,605000,163,55-64
Not Hispanic or Latino,White,Female,1,275000,3.75,395000,47,65-74
Hispanic or Latino,White,Joint,1,335000,4.5,345000,90,25-34
Not Hispanic or Latino,White,Joint,1,155000,3.125,805000,204,45-54
Not Hispanic or Latino,Black or African American,Male,1,495000,4.25,555000,95,25-34
Not Hispanic or Latino,White,Male,1,485000,3.625,535000,193,55-64
Not Hispanic or Latino,Asian,Female,1,495000,3.625,645000,103,55-64
Not Hispanic or Latino,Asian,Joint,1,235000,3.625,435000,66,65-74
Hispanic or Latino,White,Male,1,455000,3.5,565000,104,25-34
Not Hispanic or Latino,Black or African American,Female,1,345000,3.875,365000,95,35-44
Joint,White,Joint,1,355000,3.875,465000,119,45-54
Not Hispanic or Latino,Asian,Joint,1,525000,3.875,655000,131,35-44
Not Hispanic or Latino,White,Male,1,335000,3.875,345000,80,25-34
Not Hispanic or Latino,White,Joint,1,305000,3.75,335000,98,55-64
Not Hispanic or Latino,White,Joint,1,395000,3.75,495000,156,45-54
Not Hispanic or Latino,Asian,Joint,1,365000,4.375,385000,120,25-34
Hispanic or Latino,Race Not Available,Joint,1,435000,4.75,445000,144,25-34
Not Hispanic or Latino,Race Not Available,Male,1,515000,3.875,645000,180,25-34
Ethnicity Not Available,Race Not Available,Sex Not Available,1,465000,3.625,475000,115,25-34
Ethnicity Not Available,Race Not Available,Male,1,315000,3.5,335000,76,35-44
Not Hispanic or Latino,Black or African American,Male,1,485000,3.875,725000,156,35-44
Not Hispanic or Latino,White,Joint,1,265000,4.08,505000,26,65-74
Not Hispanic or Latino,Asian,Male,1,535000,3.875,545000,132,45-54
Hispanic or Latino,White,Joint,1,305000,3.875,315000,98,25-34
Not Hispanic or Latino,Asian,Male,3,545000,4.458762699,575000,118,35-44
Not Hispanic or Latino,White,Male,1,305000,3.75,375000,182,35-44
Hispanic or Latino,White,Female,1,95000,5.013,545000,19,>74
Joint,Asian,Joint,1,285000,3.625,355000,106,35-44
Not Hispanic or Latino,White,Female,1,255000,3.5,525000,69,65-74
Not Hispanic or Latino,Asian,Joint,1,395000,3.5,575000,125,55-64
Ethnicity Not Available,Asian,Joint,1,325000,3.875,365000,92,35-44
Hispanic or Latino,White,Female,1,435000,3.375,555000,145,25-34
Not Hispanic or Latino,White,Joint,1,465000,3.5,475000,114,55-64
Not Hispanic or Latino,Asian,Joint,1,685000,4.375,855000,251,25-34
Not Hispanic or Latino,White,Male,1,485000,3.75,605000,108,35-44
Ethnicity Not Available,Race Not Available,Sex Not Available,1,325000,3,405000,121,<25
Ethnicity Not Available,Black or African American,Male,3,295000,4.458762699,295000,54,>74
Hispanic or Latino,White,Joint,1,345000,3.625,355000,71,25-34
Hispanic or Latino,Race Not Available,Male,1,405000,3.25,405000,99,35-44
Not Hispanic or Latino,White,Joint,1,285000,3.375,675000,129,45-54
Hispanic or Latino,Race Not Available,Joint,1,415000,3.99,515000,140,25-34
Ethnicity Not Available,Asian,Joint,1,385000,4.125,385000,94,25-34
Ethnicity Not Available,Race Not Available,Female,3,485000,4.458762699,545000,102,65-74
Not Hispanic or Latino,Asian,Joint,1,475000,3.875,595000,115,25-34
Not Hispanic or Latino,White,Male,1,345000,3,455000,66,65-74
Ethnicity Not Available,Race Not Available,Joint,1,895000,3.75,1115000,228,35-44
Not Hispanic or Latino,White,Female,3,545000,4.458762699,685000,86,65-74
Not Hispanic or Latino,Asian,Male,1,555000,3.875,585000,137,35-44
Not Hispanic or Latino,Asian,Joint,1,255000,3.875,455000,73,55-64
Not Hispanic or Latino,Joint,Joint,1,435000,3.5,515000,180,65-74
Ethnicity Not Available,Race Not Available,Joint,1,565000,3.375,575000,112,35-44
Not Hispanic or Latino,White,Joint,1,435000,3.75,685000,87,35-44
Not Hispanic or Latino,Asian,Joint,1,635000,3.875,745000,263,35-44
Not Hispanic or Latino,Race Not Available,Male,1,205000,3.875,315000,132,45-54
Not Hispanic or Latino,American Indian or Alaska Native,Male,1,385000,3.875,405000,99,25-34
Joint,White,Joint,1,345000,3.25,435000,91,25-34
Not Hispanic or Latino,Joint,Joint,1,325000,3.875,365000,114,45-54
Not Hispanic or Latino,White,Joint,1,335000,4.25,505000,117.8525735,25-34
Not Hispanic or Latino,White,Joint,1,365000,3.75,455000,75,35-44
Joint,Race Not Available,Joint,1,305000,4.25,325000,141,35-44
Not Hispanic or Latino,White,Joint,1,425000,3.75,525000,123,35-44
Hispanic or Latino,White,Joint,1,425000,3.25,535000,168,35-44
Not Hispanic or Latino,White,Joint,1,75000,4.561,345000,9,65-74
Not Hispanic or Latino,Asian,Male,1,435000,3.25,535000,72,25-34
Hispanic or Latino,White,Joint,1,435000,3.625,455000,142,35-44
Hispanic or Latino,Race Not Available,Male,1,435000,3.625,435000,91,35-44
Not Hispanic or Latino,Asian,Joint,1,425000,4,435000,122,25-34
Joint,Black or African American,Joint,1,535000,3.75,665000,171,45-54
Not Hispanic or Latino,White,Female,1,685000,3.99,725000,195,35-44
Hispanic or Latino,Black or African American,Female,3,575000,4.458762699,585000,54,25-34
Hispanic or Latino,White,Joint,1,405000,3.5,515000,122,25-34
Not Hispanic or Latino,White,Male,1,55000,3.625,455000,80,65-74
Not Hispanic or Latino,White,Male,1,435000,3.375,435000,100,45-54
Joint,Race Not Available,Joint,1,485000,3.625,515000,131,<25
Joint,White,Joint,1,165000,3.625,545000,90,65-74
Not Hispanic or Latino,White,Joint,1,365000,3.625,665000,77,55-64
Not Hispanic or Latino,White,Joint,1,435000,3.125,435000,126,45-54
Not Hispanic or Latino,White,Male,1,295000,2.5,365000,99,55-64
Ethnicity Not Available,White,Joint,1,55000,3.375,265000,32,45-54
Ethnicity Not Available,Asian,Joint,1,375000,3.75,415000,120,55-64
Joint,Race Not Available,Joint,1,405000,3.875,425000,208,45-54
Not Hispanic or Latino,White,Male,1,245000,3.125,425000,107,25-34
Hispanic or Latino,White,Male,1,415000,3.5,405000,67,25-34
Hispanic or Latino,White,Male,3,425000,4.458762699,455000,120,25-34
Not Hispanic or Latino,White,Male,1,285000,3.5,305000,119,35-44
Not Hispanic or Latino,White,Joint,1,435000,3.75,545000,132,25-34
Ethnicity Not Available,Race Not Available,Female,1,175000,3.75,345000,86,45-54
Not Hispanic or Latino,White,Joint,1,265000,3.99,305000,76,65-74
Not Hispanic or Latino,Asian,Joint,1,635000,3.99,815000,193,25-34
Not Hispanic or Latino,White,Female,1,655000,3.99,735000,163,55-64
Hispanic or Latino,Race Not Available,Joint,1,765000,3.875,795000,228,45-54
Not Hispanic or Latino,Race Not Available,Male,1,725000,3.625,825000,150,25-34
Hispanic or Latino,Race Not Available,Female,1,355000,4.25,475000,90,45-54
Not Hispanic or Latino,Black or African American,Joint,1,465000,4.25,495000,167,35-44
Not Hispanic or Latino,White,Joint,1,405000,4,415000,164,55-64
Joint,Joint,Joint,1,345000,3.375,345000,99,45-54
Not Hispanic or Latino,White,Joint,1,535000,3.375,545000,99,25-34
Ethnicity Not Available,Asian,Female,1,345000,3.75,545000,77,35-44
Not Hispanic or Latino,Asian,Joint,3,525000,4.458762699,585000,144,25-34
Ethnicity Not Available,Asian,Joint,1,505000,3.5,625000,141,45-54
Hispanic or Latino,Race Not Available,Male,1,275000,3.375,355000,88,45-54
Not Hispanic or Latino,White,Male,1,275000,3.875,275000,114,45-54
Not Hispanic or Latino,Asian,Male,1,425000,3.75,595000,76,25-34
Ethnicity Not Available,Asian,Male,1,455000,3.5,715000,160,35-44
Ethnicity Not Available,Race Not Available,Female,1,295000,3.25,305000,78,35-44
Not Hispanic or Latino,White,Joint,1,405000,3.125,395000,128,35-44
Hispanic or Latino,White,Joint,1,485000,3.75,615000,166,35-44
Not Hispanic or Latino,White,Male,1,545000,3.5,525000,136,35-44
Not Hispanic or Latino,Black or African American,Female,1,395000,3.625,395000,135,55-64
Hispanic or Latino,White,Joint,3,495000,4.458762699,525000,101,25-34
Not Hispanic or Latino,White,Joint,1,435000,4.5,545000,165,55-64
Not Hispanic or Latino,Black or African American,Female,1,485000,3.99,505000,93,35-44
Joint,White,Joint,1,705000,3.375,735000,123,55-64
Hispanic or Latino,White,Female,1,275000,3.5,285000,68,45-54
Not Hispanic or Latino,White,Female,1,615000,3.625,765000,221,<25
Joint,White,Joint,1,405000,3.5,535000,140,65-74
Not Hispanic or Latino,Joint,Joint,1,435000,4.5,465000,116,45-54
Not Hispanic or Latino,Asian,Male,1,415000,3.875,525000,93,35-44
Hispanic or Latino,White,Male,1,275000,3.5,285000,78,25-34
Ethnicity Not Available,Race Not Available,Joint,3,755000,4.458762699,945000,260,35-44
Hispanic or Latino,Race Not Available,Joint,1,285000,3.5,295000,90,25-34
Joint,Race Not Available,Joint,1,325000,4.125,325000,97,35-44
Not Hispanic or Latino,Black or African American,Female,1,535000,3.875,545000,138,55-64
Not Hispanic or Latino,Asian,Female,1,255000,3.375,355000,93,35-44
Ethnicity Not Available,Asian,Joint,1,485000,3.625,605000,99,25-34
Hispanic or Latino,Race Not Available,Joint,3,285000,4.458762699,295000,53,45-54
Not Hispanic or Latino,White,Joint,1,435000,3.625,485000,105,35-44
Joint,Joint,Joint,1,285000,3.375,305000,49,25-34
Ethnicity Not Available,Race Not Available,Joint,1,335000,3.875,555000,79,55-64
Hispanic or Latino,White,Male,1,345000,3.375,365000,81,25-34
Hispanic or Latino,White,Joint,1,475000,3.5,475000,93,65-74
Not Hispanic or Latino,Joint,Joint,3,425000,4.458762699,495000,111,55-64
Hispanic or Latino,White,Joint,1,315000,3.375,325000,75,25-34
Ethnicity Not Available,Race Not Available,Joint,1,335000,3.75,355000,150,45-54
Not Hispanic or Latino,White,Joint,1,515000,3.875,645000,182,65-74
Joint,Race Not Available,Joint,1,325000,3.5,325000,136,35-44
Joint,White,Male,1,425000,3.875,415000,131,45-54
Not Hispanic or Latino,White,Joint,1,495000,3.375,625000,71,35-44
Hispanic or Latino,Race Not Available,Male,3,345000,4.458762699,335000,17,25-34
Ethnicity Not Available,Race Not Available,Male,1,345000,4.125,465000,195,65-74
Ethnicity Not Available,Race Not Available,Female,1,315000,3.625,325000,145,35-44
Not Hispanic or Latino,White,Joint,1,635000,3.375,665000,156,25-34
Hispanic or Latino,White,Female,1,565000,3.75,705000,103,45-54
Not Hispanic or Latino,Black or African American,Male,1,385000,3.625,385000,89,45-54
Not Hispanic or Latino,Race Not Available,Joint,1,395000,4.25,415000,125,25-34
Not Hispanic or Latino,Joint,Joint,1,245000,3.875,345000,51,25-34
Not Hispanic or Latino,White,Female,1,385000,3.99,405000,84,25-34
Not Hispanic or Latino,Asian,Joint,1,665000,3.99,755000,134,25-34
Not Hispanic or Latino,Asian,Joint,1,305000,3.375,565000,216,35-44
Not Hispanic or Latino,Asian,Joint,1,285000,2.99,355000,204,35-44
Not Hispanic or Latino,White,Joint,1,295000,4.875,315000,243,55-64
Not Hispanic or Latino,Joint,Joint,1,385000,3.875,405000,134,25-34
Not Hispanic or Latino,Joint,Joint,1,275000,3.875,505000,117,65-74
Joint,White,Joint,1,485000,3.99,595000,117.8525735,35-44
Not Hispanic or Latino,Asian,Joint,1,515000,3.625,525000,118,35-44
Not Hispanic or Latino,White,Male,1,415000,3.75,415000,95,25-34
Not Hispanic or Latino,Black or African American,Joint,1,555000,3.5,555000,206,25-34
Ethnicity Not Available,Race Not Available,Sex Not Available,1,405000,3.875,615000,195,55-64
Not Hispanic or Latino,White,Joint,1,315000,3.25,565000,74,65-74
Hispanic or Latino,White,Male,1,325000,3.25,335000,86,25-34
Not Hispanic or Latino,White,Joint,1,365000,3.75,415000,130,25-34
Hispanic or Latino,Race Not Available,Female,1,395000,3.99,465000,87,35-44
Not Hispanic or Latino,Black or African American,Female,1,375000,3.625,385000,96,35-44
Ethnicity Not Available,Race Not Available,Joint,3,525000,4.458762699,655000,130,45-54
Ethnicity Not Available,Race Not Available,Joint,1,525000,3.625,655000,140,55-64
Hispanic or Latino,Race Not Available,Joint,1,445000,3.25,475000,109,35-44
Joint,White,Joint,1,105000,4.477,255000,32,65-74
Not Hispanic or Latino,White,Joint,1,475000,3.875,505000,117,25-34
Ethnicity Not Available,Race Not Available,Female,1,415000,3,445000,102,35-44
Ethnicity Not Available,Race Not Available,Male,1,445000,2.99,555000,151,55-64
Joint,White,Joint,1,695000,4.875,865000,135,35-44
Ethnicity Not Available,Race Not Available,Male,1,255000,4.375,285000,55,<25
Hispanic or Latino,2 or more minority races,Male,1,635000,3.875,655000,174,55-64
Hispanic or Latino,Race Not Available,Male,1,365000,3.5,395000,135,45-54
Not Hispanic or Latino,Asian,Male,1,515000,3.875,635000,125,25-34
Not Hispanic or Latino,White,Male,1,475000,3.625,485000,204,25-34
Not Hispanic or Latino,White,Male,1,425000,3.99,475000,125,55-64
Hispanic or Latino,Race Not Available,Joint,1,495000,3.625,505000,141,35-44
Not Hispanic or Latino,White,Female,1,35000,5.599,265000,21,>74
Not Hispanic or Latino,Asian,Male,1,475000,3.375,595000,145,35-44
Not Hispanic or Latino,Asian,Female,1,685000,3.375,855000,195,35-44
Not Hispanic or Latino,Asian,Male,1,485000,3.75,515000,120,25-34
Not Hispanic or Latino,Asian,Male,1,415000,3.5,615000,95,35-44
Not Hispanic or Latino,White,Female,1,115000,4.25,435000,67,25-34
Not Hispanic or Latino,White,Male,3,315000,4.458762699,305000,54,25-34
Not Hispanic or Latino,Black or African American,Male,3,555000,4.458762699,545000,85,45-54
Not Hispanic or Latino,Asian,Joint,1,195000,3.875,305000,39,25-34
Ethnicity Not Available,Race Not Available,Male,1,335000,3.25,425000,66,55-64
Not Hispanic or Latino,White,Male,1,175000,3.5,345000,63,45-54
Ethnicity Not Available,Race Not Available,Female,1,425000,3.99,465000,111,>74
Hispanic or Latino,White,Joint,1,315000,3,325000,120,25-34
Not Hispanic or Latino,Asian,Joint,1,515000,3.75,535000,136,35-44
Not Hispanic or Latino,White,Male,1,355000,4.125,375000,73,25-34
Not Hispanic or Latino,Asian,Joint,1,385000,3.25,385000,73,45-54
Not Hispanic or Latino,White,Joint,1,195000,3.625,595000,112,65-74
Hispanic or Latino,Race Not Available,Female,1,245000,3.375,315000,90,45-54
Hispanic or Latino,Race Not Available,Joint,3,415000,4.458762699,425000,107,35-44
Ethnicity Not Available,White,Male,1,335000,3.625,395000,101,25-34
Not Hispanic or Latino,White,Joint,1,265000,3.875,555000,74,65-74
Ethnicity Not Available,Race Not Available,Sex Not Available,1,525000,3.375,555000,130,35-44
Not Hispanic or Latino,Asian,Male,1,375000,3.5,405000,101,25-34
Ethnicity Not Available,Race Not Available,Sex Not Available,1,725000,3.875,925000,230,25-34
Hispanic or Latino,White,Female,1,245000,3.5,295000,54,25-34
Not Hispanic or Latino,Asian,Female,1,285000,3.875,315000,62,25-34
Hispanic or Latino,White,Male,1,435000,2.875,465000,88,25-34
Not Hispanic or Latino,Asian,Joint,1,565000,3.75,615000,123,25-34
Not Hispanic or Latino,Asian,Joint,1,485000,3.5,545000,119,35-44
Hispanic or Latino,Race Not Available,Male,1,655000,4,675000,138,25-34
Hispanic or Latino,White,Joint,1,335000,3.625,525000,83,25-34
Not Hispanic or Latino,White,Joint,1,485000,3.625,805000,179,35-44
Not Hispanic or Latino,Asian,Joint,1,335000,3.25,335000,148,55-64
Hispanic or Latino,Race Not Available,Joint,1,655000,5.25,695000,208,55-64
Not Hispanic or Latino,White,Female,1,305000,3.875,515000,73,>74
Not Hispanic or Latino,White,Female,1,245000,3.625,555000,75,65-74
Hispanic or Latino,White,Joint,1,405000,3.875,465000,115,35-44
Not Hispanic or Latino,Black or African American,Female,1,555000,3.99,625000,117,45-54
Hispanic or Latino,White,Joint,1,435000,3.625,545000,111,35-44
Hispanic or Latino,White,Joint,1,415000,3.875,435000,109,25-34
Hispanic or Latino,Race Not Available,Male,1,425000,3.75,445000,117,45-54
Ethnicity Not Available,Race Not Available,Male,1,505000,3.375,495000,147,55-64
Ethnicity Not Available,White,Joint,1,315000,3.5,385000,186,25-34
Not Hispanic or Latino,Asian,Joint,1,385000,3.5,405000,70,35-44
Not Hispanic or Latino,White,Joint,1,445000,3.375,525000,132,25-34
Not Hispanic or Latino,Asian,Joint,1,705000,3.375,725000,155,25-34
Not Hispanic or Latino,Asian,Male,1,485000,3.5,675000,150,25-34
Not Hispanic or Latino,White,Male,1,275000,3.75,275000,94,55-64
Not Hispanic or Latino,Asian,Male,1,605000,3.5,885000,141,25-34
Ethnicity Not Available,Race Not Available,Female,1,315000,3.875,395000,59,55-64
Not Hispanic or Latino,Asian,Female,3,305000,4.458762699,675000,58,65-74
Ethnicity Not Available,Race Not Available,Joint,1,345000,3.75,425000,118,35-44
Not Hispanic or Latino,White,Male,1,305000,4,305000,78,25-34
Not Hispanic or Latino,Asian,Male,3,355000,4.458762699,365000,68,25-34
Not Hispanic or Latino,White,Male,1,275000,3.875,305000,80,25-34
Ethnicity Not Available,Race Not Available,Joint,1,785000,3.625,975000,165,45-54
Joint,White,Joint,1,445000,3.75,475000,158,35-44
Not Hispanic or Latino,White,Joint,1,485000,3.375,785000,137,65-74
Not Hispanic or Latino,Asian,Female,1,465000,3.5,585000,147,35-44
Ethnicity Not Available,Asian,Joint,1,385000,4.125,585000,129,45-54
Joint,Asian,Joint,1,485000,4.125,535000,169,35-44
Not Hispanic or Latino,White,Joint,3,295000,4.458762699,295000,128,25-34
Not Hispanic or Latino,White,Female,1,495000,4.25,525000,117.8525735,45-54
Hispanic or Latino,White,Joint,1,305000,3.5,515000,124,55-64
Not Hispanic or Latino,Joint,Joint,1,655000,3.875,815000,175,45-54
Not Hispanic or Latino,Asian,Female,1,355000,2.875,445000,134,25-34
Ethnicity Not Available,Race Not Available,Joint,1,75000,3.99,795000,49,65-74
Not Hispanic or Latino,White,Male,1,535000,4.125,545000,149,>74
Not Hispanic or Latino,Asian,Male,1,505000,3.625,485000,136,45-54
Not Hispanic or Latino,Black or African American,Female,1,515000,3.625,595000,109,45-54
Hispanic or Latino,Race Not Available,Male,1,425000,3.875,435000,111,35-44
Not Hispanic or Latino,Asian,Female,3,475000,4.458762699,565000,76,35-44
Joint,Joint,Joint,1,375000,3.625,365000,91,35-44
Not Hispanic or Latino,White,Joint,1,485000,3.875,625000,93,25-34
Not Hispanic or Latino,White,Male,3,405000,4.458762699,1105000,178,55-64
Not Hispanic or Latino,White,Female,1,155000,3.875,445000,135,65-74
Not Hispanic or Latino,White,Female,1,155000,3.875,505000,204,55-64
Not Hispanic or Latino,Asian,Male,1,225000,2.875,325000,88,35-44
Not Hispanic or Latino,White,Female,1,365000,3.875,465000,119,45-54
Not Hispanic or Latino,Asian,Male,1,545000,3.625,675000,185,35-44
Not Hispanic or Latino,Asian,Joint,1,365000,3.875,375000,93,65-74
Not Hispanic or Latino,White,Joint,1,285000,3.99,305000,59,25-34
Ethnicity Not Available,Race Not Available,Joint,1,525000,3.99,875000,141,65-74
Not Hispanic or Latino,White,Female,1,375000,3.75,435000,66,45-54
Not Hispanic or Latino,Asian,Male,1,315000,2.875,495000,187,25-34
Hispanic or Latino,Race Not Available,Male,1,285000,3.375,285000,88,25-34
Not Hispanic or Latino,Black or African American,Joint,1,465000,3.625,455000,166,35-44
Not Hispanic or Latino,Joint,Joint,1,445000,3.5,435000,107,25-34
Hispanic or Latino,White,Joint,1,565000,3.875,705000,240,35-44
Not Hispanic or Latino,Asian,Male,1,285000,4,285000,102,45-54
Not Hispanic or Latino,Asian,Joint,1,485000,3.375,715000,228,35-44
Hispanic or Latino,American Indian or Alaska Native,Joint,1,435000,3.625,475000,141,45-54
Not Hispanic or Latino,Black or African American,Joint,3,455000,4.458762699,475000,115,45-54
Not Hispanic or Latino,Asian,Joint,1,275000,3.875,305000,109,45-54
Not Hispanic or Latino,Asian,Joint,1,455000,4.75,575000,139,35-44
Not Hispanic or Latino,Race Not Available,Male,1,465000,3.375,835000,150,45-54
Not Hispanic or Latino,White,Male,1,145000,3.5,395000,88,65-74
Ethnicity Not Available,Race Not Available,Male,1,605000,3.99,675000,190,25-34
Not Hispanic or Latino,Joint,Joint,1,305000,3.5,295000,68,35-44
Not Hispanic or Latino,White,Male,1,155000,3.625,725000,135,25-34
Hispanic or Latino,White,Joint,1,345000,3.875,365000,92,55-64
Not Hispanic or Latino,White,Male,1,315000,3.625,445000,133,45-54
Hispanic or Latino,Race Not Available,Joint,3,385000,4.458762699,385000,107,25-34
